0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
American University,Amherst College,Bard College,Barnard College,Bates College,Baylor University,Beloit College,Bennington College,Bentley University,Boston College,Boston University,Bowdoin College,Brandeis University,Brigham Young University,Brown University,Bryn Mawr College,California Institute of Tech.,Cal Poly-San Luis Obispo,Carleton College,Carnegie Mellon University,Case Western,Centre College,Clark University,Clemson University,Colby College,Colgate University,College of the Atlantic,College of the Holy Cross,College of the Ozarks,William and Mary,Colorado College,Colorado School of Mines,Columbia University,Connecticut College,Cooper Union,Cornell University,Creighton University,Dartmouth College,Davidson College,Denison University,DePauw University,Dickinson College,Drake University,Duke University,Earlham College,Elon University,Fordham University,Franklin and Marshall ,Furman University,George Washington U.,Georgetown University,Georgia Institute of Tech.,Gettysburg College,Grinnell College,Hamilton College,Hampden-Sydney College,Hampshire College,Harvard University,Harvey Mudd College,Haverford College,Hendrix College,Hobart William Smith,Hope College,Indiana University,James Madison University,Johns Hopkins University,Juniata College,Kalamazoo College,Kenyon College,Knox College,Lafayette College,Lawrence University,Lehigh University,Lewis & Clark College,Loyola Marymount,Loyola University Maryland,Macalester College,Manhattan College,MIT,Miami University-Oxford,Michigan State University,Middlebury College,Mount Holyoke College,Muhlenberg College,New York University,North Carolina State ,Northwestern University,Oberlin College,Occidental College,Ohio State University,Ohio Wesleyan University,Penn State University,Pepperdine University,Pitzer College,Pomona College,Presbyterian College,Princeton University,Providence College,Purdue University,Reed College,Rensselaer Polytechnic,Rhodes College,Rice University,Saint Anselm College,Saint Louis University,Saint Michael's College,Santa Clara University,Sarah Lawrence College,Scripps College,Sewanee,Skidmore College,Smith College,Southern Methodist,Southwestern University,St John's College,St Lawrence University,St Olaf College,Stanford University,SUNY at Binghamton,Swarthmore College,Syracuse University,Texas A & M University,The College of Wooster,The University of Texas ,Transylvania University,Trinity College,Trinity University,Tufts University,Tulane University,Union College,US Air Force Academy,US Coast Guard Academy,US Military Academy,US Naval Academy,UC Berkeley,UC Davis,UC Irvine,UCLA,UC San Diego,UC Santa Barbara,University of Chicago,University of Colorado,University of Connecticut,University of Delaware,University of Denver,University of Florida,University of Georgia,University of Illinois,University of Iowa,University of Maryland,University of Miami,University of Michigan,University of Minnesota,Univ. of New Hampshire,UNC - Chapel Hill,University of Notre Dame,University of Pennsylvania,University of Pittsburgh,University of Portland,University of Puget Sound,University of Richmond,University of Rochester,Univ. of South Carolina,USC,University of Utah,University of Vermont,University of Virginia,Univ. of Washington,Univ. of Wisconsin,University of Wyoming,Ursinus College,Vanderbilt University,Vassar College,Villanova University,Virginia Military Institute,Virginia Polytechnic,Wabash College,Wake Forest University,Washington and Lee ,Washington University,Wellesley College,Wesleyan University,Westmont College,Whitman College,Willamette University,Williams College,Wofford College,Worcester Polytechnic,Yale University,Yeshiva University
http://i.forbesimg.com/media/lists/colleges/american-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/amherst-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/bard-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/barnard-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/bates-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/baylor-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/beloit-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/bennington-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/bentley-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/boston-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/boston-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/bowdoin-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/brandeis-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/brigham-young-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/brown-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/bryn-mawr-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/california-institute-of-technology_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/california-polytechnic-state-university-san-luis-obispo_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/carleton-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/carnegie-mellon-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/case-western-reserve-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/centre-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/clark-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/clemson-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/colby-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/colgate-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/college-of-the-atlantic_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/college-of-the-holy-cross_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/college-of-the-ozarks_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/college-of-william-and-mary_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/colorado-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/colorado-school-of-mines_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/columbia-university-in-the-city-of-new-york_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/connecticut-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/cooper-union-for-the-advancement-of-science-and-art_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/cornell-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/creighton-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/dartmouth-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/davidson-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/denison-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/depauw-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/dickinson-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/drake-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/duke-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/earlham-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/elon-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/fordham-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/franklin-and-marshall-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/furman-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/george-washington-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/georgetown-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/georgia-institute-of-technology-main-campus_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/gettysburg-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/grinnell-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/hamilton-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/hampden-sydney-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/hampshire-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/harvard-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/harvey-mudd-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/haverford-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/hendrix-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/hobart-william-smith-colleges_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/hope-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/indiana-university-bloomington_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/james-madison-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/johns-hopkins-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/juniata-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/kalamazoo-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/kenyon-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/knox-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/lafayette-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/lawrence-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/lehigh-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/lewis-clark-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/loyola-marymount-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/loyola-university-maryland_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/macalester-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/manhattan-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/massachusetts-institute-of-technology_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/miami-university-oxford_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/michigan-state-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/middlebury-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/mount-holyoke-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/muhlenberg-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/new-york-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/north-carolina-state-university-at-raleigh_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/northwestern-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/oberlin-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/occidental-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/ohio-state-university-main-campus_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/ohio-wesleyan-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/pennsylvania-state-university-main-campus_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/pepperdine-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/pitzer-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/pomona-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/presbyterian-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/princeton-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/providence-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/purdue-university-main-campus_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/reed-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/rensselaer-polytechnic-institute_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/rhodes-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/rice-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/saint-anselm-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/saint-louis-university-main-campus_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/saint-michaels-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/santa-clara-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/sarah-lawrence-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/scripps-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/sewanee-the-university-of-the-south_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/skidmore-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/smith-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/southern-methodist-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/southwestern-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/st-johns-college-md_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/st-lawrence-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/st-olaf-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/stanford-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/suny-at-binghamton_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/swarthmore-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/syracuse-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/texas-a-m-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/the-college-of-wooster_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/the-university-of-texas-at-austin_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/transylvania-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/trinity-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/trinity-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/tufts-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/tulane-university-of-louisiana_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/union-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/united-states-air-force-academy_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/united-states-coast-guard-academy_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/united-states-military-academy_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/united-states-naval-academy_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-california-berkeley_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-california-davis_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-california-irvine_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-california-los-angeles_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-california-san-diego_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-california-santa-barbara_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-chicago_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-colorado-at-boulder_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-connecticut_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-delaware_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-denver_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-florida_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-georgia_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-illinois-at-urbana-champaign_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-iowa_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-maryland-college-park_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-miami_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-michigan-ann-arbor_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-minnesota-twin-cities_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-new-hampshire-main-campus_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-north-carolina-at-chapel-hill_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-notre-dame_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-pennsylvania_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-pittsburgh-pittsburgh-campus_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-portland_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-puget-sound_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-richmond_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-rochester_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-south-carolina-columbia_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-southern-california_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-utah_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-vermont_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-virginia-main-campus_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-washington-seattle-campus_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-wisconsin-madison_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/university-of-wyoming_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/ursinus-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/vanderbilt-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/vassar-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/villanova-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/virginia-military-institute_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/virginia-polytechnic-institute-and-state-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/wabash-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/wake-forest-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/washington-and-lee-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/washington-university-in-st-louis_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/wellesley-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/wesleyan-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/westmont-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/whitman-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/willamette-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/williams-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/wofford-college_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/worcester-polytechnic-institute_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/yale-university_50x50.jpg,http://i.forbesimg.com/media/lists/colleges/yeshiva-university_50x50.jpg
Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Public,Private,Private,Private,Public,Private,Private,Private,Private,Private,Public,Private,Private,Private,Private,Private,Public,Private,Public,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Public,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Public,Public,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Public,Public,Private,Private,Private,Private,Public,Private,Private,Private,Public,Private,Public,Private,Private,Private,Private,Private,Private,Public,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Public,Private,Private,Public,Private,Public,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Public,Public,Public,Public,Public,Public,Private,Public,Public,Public,Private,Public,Public,Public,Public,Public,Private,Public,Public,Public,Public,Private,Private,Public,Private,Private,Private,Private,Public,Private,Public,Public,Public,Public,Public,Public,Private,Private,Private,Private,Public,Public,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private
5418,1590,1039,2197,1599,10403,1206,460,4628,10148,18084,1498,2881,28775,5992,1265,900,14315,1882,4556,3551,908,2207,12513,1755,2674,217,2697,1472,5320,1899,2794,6928,1862,986,8075,4094,3950,1607,1849,1983,1952,4056,6241,1041,3141,5910,1785,2538,6941,6287,9182,1990,1363,1670,946,1171,10704,659,1084,954,1797,2713,27480,10394,5134,1050,1218,1454,990,2244,1203,4430,1692,3994,3194,1836,2834,4509,14413,30760,2055,1932,2006,15225,21986,9689,2707,1621,37044,1828,30963,3113,861,1500,1158,4686,5075,30278,1260,4354,1404,2763,1873,8933,1821,4019,1020,576,1154,2585,2574,5279,1206,397,1846,2993,7007,9215,1522,12307,34441,1734,35206,918,1981,2205,4629,6475,2038,4239,930,4273,4126,21577,17220,13404,22892,14360,16331,3379,21725,15492,18652,3410,27756,22301,27759,18441,23331,8636,23384,38338,11696,15709,7701,11448,17607,2215,2876,3448,5509,16255,14688,22268,9027,12446,24938,27908,9023,2508,5590,2241,7696,1191,19127,806,3671,1587,6153,2351,2741,1285,1249,1754,2012,1093,2888,5300,1990
573,177,90,164,133,638,80,51,199,562,1687,141,322,1387,670,105,367,688,155,868,1101,75,176,1099,174,256,15,205,80,529,147,177,2421,175,59,987,598,674,151,146,160,144,285,2365,73,137,498,166,205,1070,1248,689,153,153,159,84,89,1847,68,100,65,151,181,1790,512,2055,75,92,134,85,162,109,374,176,316,224,123,194,1038,800,3306,208,211,115,2519,1440,1751,255,139,3021,136,2540,271,59,161,75,754,219,1978,102,410,114,433,122,969,124,328,67,56,106,173,283,489,83,46,163,264,1385,462,174,895,1824,139,2088,64,166,229,554,941,180,17,43,488,298,2219,2149,1335,2885,1726,914,1182,1815,1093,901,406,3159,1940,2378,1769,2209,1800,2741,2550,758,1958,644,2030,2595,124,264,269,1709,1429,2565,1549,835,1722,3262,2806,791,80,1604,212,511,104,1649,82,340,181,1744,262,261,73,120,145,207,64,220,2358,211
1139,425,230,327,456,699,200,129,493,1691,3897,425,932,2344,2042,280,1681,844,243,2047,2009,164,332,2981,314,412,176,552,137,985,344,284,6456,402,146,4477,1283,1983,411,305,362,394,707,14549,260,259,1096,281,449,5013,6224,2853,364,297,271,174,203,7568,435,299,150,421,271,4872,980,5919,153,181,272,191,393,225,938,334,560,465,275,318,7406,1609,5158,521,449,212,10345,4352,3161,482,356,13100,263,6663,791,93,580,191,3780,418,5774,188,1197,205,1262,283,1934,249,623,309,2648,302,534,759,1303,188,85,415,345,6172,912,343,2652,5221,388,8664,132,322,419,2076,2881,458,1779,107,420,1133,5668,3982,3501,9096,5897,2040,4658,2209,2622,2369,896,7505,6202,6784,5236,3922,4852,14266,9801,1562,6335,2706,6012,5262,252,366,666,6857,2657,5694,3936,1824,8065,10329,8104,1673,148,7891,643,1016,300,4160,146,803,399,5310,435,530,151,189,262,549,198,388,5346,562
15386,19152,19154,17756,23990,7070,15430,20750,12830,16006,17650,18300,18955,2200,19556,17660,16030,1674,18405,16960,15322,11600,17000,2954,17840,18620,13287,17200,100,4414,15942,4366,17948,18130,300,18226,10252,18270,16263,15950,13700,17775,12780,17163,15327,8630,13375,23655,12605,16988,17586,2277,18870,15368,18650,12974,19490,17470,16410,18000,8410,18309,28550,2988,3798,17900,14250,15135,18140,14955,17880,16341,17750,15051,12933,12165,15107,12700,19000,4226,4260,24400,17980,16385,17640,1389,15804,18825,16182,2940,15726,4822,17260,18198,16720,11984,18940,13625,2696,19250,17335,14916,9644,11840,10820,12430,12879,18460,16550,14910,17560,18136,13580,11000,16150,17890,13560,17874,2961,18482,14707,1646,15425,1691,10670,17950,11720,18793,18760,17877,0,0,0,0,3969,3712,3704,3548,3645,3617,18207,2574,4290,3948,14472,1770,2250,3506,2352,3179,15880,5119,3266,4380,1419,15810,17838,5186,12100,15220,13540,17345,3090,16810,2298,6400,4350,2532,2540,1648,14265,16925,18456,14470,4940,3812,12450,13000,13235,17776,17725,18150,13660,15650,13665,18795,11480,15290,18630,12350
12818,1785,2355,2489,1791,15616,1306,738,5658,14309,32411,1795,5825,31123,8943,1738,2181,19703,2045,12367,10325,1381,3551,21303,1820,2900,370,2912,1513,8376,2061,5790,26957,1922,920,21593,8019,6342,1788,2274,2304,2396,5139,15467,1159,6305,15097,2297,2953,25264,17849,21471,2524,1721,1926,1070,1492,28297,807,1187,1444,2372,3388,46817,20181,20918,1635,1458,1705,1424,2486,1553,7096,3521,9661,5977,2039,3883,11301,17901,49317,2495,2251,2448,44599,34009,21592,2911,2128,57466,1830,46615,7315,1081,1610,1433,8014,4665,39794,1411,6714,2040,6628,1923,17343,2378,8770,1782,1009,1701,2702,3033,10929,1535,490,2506,3125,18346,16077,1534,21267,55697,2116,52059,1082,2390,2358,10872,12938,2246,3993,902,4591,4526,36198,33307,28895,40795,29517,22225,15048,32017,25911,22166,11778,49878,34536,44942,29748,37272,16935,43710,51526,14913,29127,12124,24630,28649,4036,2812,4140,11020,31964,41368,32077,12723,23464,43762,42677,12778,1596,12757,2477,10696,1675,31205,902,7602,2277,14032,2474,3205,1321,1541,2855,2150,1615,6296,12109,6747
980,233,260,254,171,1025,118,79,342,1179,3623,209,615,1460,1222,195,893,866,254,1404,1464,126,261,1189,188,311,25,290,101,730,188,400,6212,204,99,2841,724,910,178,252,238,245,346,5035,103,450,1025,211,272,1720,1824,1126,245,209,211,110,137,4184,99,150,135,220,294,2608,1103,4324,124,111,159,133,242,175,540,307,733,428,214,289,5619,959,3734,315,251,255,5963,2106,3159,357,198,4109,161,3695,492,91,225,112,939,346,2372,156,579,186,719,166,1676,150,620,171,101,161,280,338,915,138,60,205,247,4325,715,211,1324,2616,190,2846,103,240,258,1056,1527,224,179,165,205,402,3419,3757,2460,4637,3664,1423,3475,2376,2277,1129,917,4530,2687,2581,2589,3536,2651,6458,5305,806,3527,1549,5188,5120,284,255,476,2388,1948,4212,4629,1394,2326,6611,4754,1063,136,3954,304,805,133,2878,92,1664,281,3458,374,354,115,202,258,310,137,390,4741,1510
1797,616,548,519,494,1550,245,207,561,2342,5142,668,957,2982,2892,447,2122,1255,389,3438,2985,273,423,2852,455,606,58,769,184,1599,494,518,9607,528,162,7047,1251,3208,614,426,463,610,658,11364,235,789,1539,443,604,3996,3421,5694,554,445,451,247,277,11846,190,412,326,380,386,5641,1894,11819,273,248,414,250,541,279,1190,445,1187,746,399,394,6016,2170,7292,756,635,327,10057,6009,5802,752,462,22640,276,9360,1097,190,496,150,4555,515,7396,307,1167,301,2124,413,2835,285,918,267,206,458,624,762,1538,317,106,545,413,8233,1440,602,3375,4794,447,10006,218,364,502,2943,3010,583,14,382,1432,518,7205,7716,4789,13331,8050,2832,6387,4166,6216,2935,1426,8791,6920,8118,6524,5335,7313,13296,10577,1958,8139,3870,10550,6484,440,412,1170,6253,4309,8977,6808,2210,5936,10206,9559,1829,223,19241,688,1554,436,4528,150,4663,597,9030,810,557,220,289,443,722,251,526,8882,2406
