unitid,institution name,Logo,PubPriv,year,Tuition_InState,Tuition_OutState,Rev_Tuition,Rev_Govt,Rev_PrivGGG,Rev_Endow,Rev_Other,Rev_Total,Exp_Instruction,Exp_Research,Exp_Scholarship,Exp_Admin,Exp_Other,Exp_Total,Enrollment,Faculty,NonFaculty
107080,Hendrix College,http://i.forbesimg.com/media/lists/colleges/hendrix-college_50x50.jpg,Private,1993,8410,8410,7315891,1265192,1224312,3207809,3577083,13013204,4999648,121686,2083583,3485998,5618349,16309264,954,65,150
110404,California Institute of Technology,http://i.forbesimg.com/media/lists/colleges/california-institute-of-technology_50x50.jpg,Private,1993,16030,16030,29522000,134847000,37627000,21948000,1101234000,223944000,79565000,82301000,15303000,45128000,1113839000,1336136000,900,367,1681
110422,California Polytechnic State University-San Luis Obispo,http://i.forbesimg.com/media/lists/colleges/california-polytechnic-state-university-san-luis-obispo_50x50.jpg,Public,1993,1674,9054,30027372,110180080,1723060,255608,14975727,142186120,73319002,0,9975020,51938573,21915486,157148081,14315,688,844
110635,University of California-Berkeley,http://i.forbesimg.com/media/lists/colleges/university-of-california-berkeley_50x50.jpg,Public,1993,3969,11668,144967000,528780000,68181000,0,100485000,741928000,248770000,207734000,70831000,177479000,134460000,839274000,21577,2219,5668
110644,University of California-Davis,http://i.forbesimg.com/media/lists/colleges/university-of-california-davis_50x50.jpg,Public,1993,3712,11411,83691000,416710000,38596000,0,540909000,538997000,210920000,162267000,35042000,130810000,469361000,1008400000,17220,2149,3982
110653,University of California-Irvine,http://i.forbesimg.com/media/lists/colleges/university-of-california-irvine_50x50.jpg,Public,1993,3704,11403,65936000,235233000,25172000,0,313756000,326341000,173902000,77103000,27383000,88352000,240402000,607142000,13404,1335,3501
110662,University of California-Los Angeles,http://i.forbesimg.com/media/lists/colleges/university-of-california-los-angeles_50x50.jpg,Public,1993,3548,11247,161706000,669186000,96840000,0,770429000,927732000,432228000,249822000,75705000,253513000,653457000,1664725000,22892,2885,9096
110680,University of California-San Diego,http://i.forbesimg.com/media/lists/colleges/university-of-california-san-diego_50x50.jpg,Public,1993,3645,11346,74576000,432597000,54568000,0,448847000,561741000,187217000,222972000,36896000,125029000,382554000,954668000,14360,1726,5897
110705,University of California-Santa Barbara,http://i.forbesimg.com/media/lists/colleges/university-of-california-santa-barbara_50x50.jpg,Public,1993,3617,11315,70206000,191190000,12043000,0,53092000,273439000,99503000,53895000,25206000,72212000,68734000,319550000,16331,914,2040
115409,Harvey Mudd College,http://i.forbesimg.com/media/lists/colleges/harvey-mudd-college_50x50.jpg,Private,1993,16410,16410,9752446,1605932,4187920,2232354,3958576,17778652,7137671,1881681,2780469,6451163,4134075,22385059,659,68,435
